,configuration_specification,evaluation,flow_id,strategy_name,task_id
0,8,0.8456249999999998,8660,greedy__1,9954
0,8,0.7577922077922079,8660,greedy__1,37
0,8,0.8739130434782612,8660,greedy__1,125923
0,8,0.9092592592592595,8660,greedy__1,9980
0,8,0.6039999999999999,8660,greedy__1,125920
0,8,0.633125,8660,greedy__1,9955
0,8,0.7611764705882352,8660,greedy__1,53
0,8,0.8388888888888888,8660,greedy__1,14968
0,8,0.8180306603773584,8660,greedy__1,9956
0,8,0.9583445355558544,8660,greedy__1,21
0,8,0.835123367198839,8660,greedy__1,3913
0,8,1.0,8660,greedy__1,24
0,8,0.8654447439353101,8660,greedy__1,9957
0,8,0.9652956989247313,8660,greedy__1,14967
0,8,0.9359866352201258,8660,greedy__1,9964
0,8,1.0,8660,greedy__1,9979
0,8,0.9053236539624923,8660,greedy__1,9950
0,8,0.9561015750259362,8660,greedy__1,43
0,8,0.9671,8660,greedy__1,6
0,8,0.9921757445141066,8660,greedy__1,3
0,8,0.9386402387041773,8660,greedy__1,41
0,8,0.8447772657450077,8660,greedy__1,11
0,8,0.9833223684210527,8660,greedy__1,49
0,8,0.8484999999999999,8660,greedy__1,14
0,8,0.8652384082985293,8660,greedy__1,14964
0,8,0.911182309851441,8660,greedy__1,9952
0,8,0.9742427385892116,8660,greedy__1,3485
0,8,1.0,8660,greedy__1,3492
0,8,0.9953634681469733,8660,greedy__1,9967
0,8,0.9780394570000748,8660,greedy__1,34536
0,8,0.9943196558792889,8660,greedy__1,9960
0,8,0.9809523809523808,8660,greedy__1,36
0,8,0.876830601092896,8660,greedy__1,3493
0,8,0.7629999999999999,8660,greedy__1,31
0,8,0.6877334498275147,8660,greedy__1,14969
0,8,0.985,8660,greedy__1,3512
0,8,0.9794545454545455,8660,greedy__1,125922
0,8,0.998,8660,greedy__1,3567
0,8,0.6574972232506479,8660,greedy__1,2079
0,8,0.9783006519172528,8660,greedy__1,9914
0,8,0.9891558441558441,8660,greedy__1,3494
0,8,0.8565384615384615,8660,greedy__1,9976
0,8,0.20704113924050632,8660,greedy__1,3560
0,8,0.7540720720720719,8660,greedy__1,10101
0,8,0.994373166164775,8660,greedy__1,3889
0,8,0.8538,8660,greedy__1,58
0,8,0.539731568302997,8660,greedy__1,23
0,8,0.9684897210574993,8660,greedy__1,9977
0,8,0.6873573309920983,8660,greedy__1,3561
0,8,0.9878033205619412,8660,greedy__1,3021
0,8,0.8666666666666666,8660,greedy__1,29
0,8,0.9459385017584265,8660,greedy__1,9978
0,8,0.6307601382069467,8660,greedy__1,9985
0,8,0.8659566641859351,8660,greedy__1,146607
0,8,0.9178849144634527,8660,greedy__1,2074
0,8,0.993446524912726,8660,greedy__1,10093
0,8,0.9656565656565655,8660,greedy__1,3022
0,8,0.9623824451410657,8660,greedy__1,45
0,8,0.7238164815897136,8660,greedy__1,9971
0,8,1.0,8660,greedy__1,34538
0,8,0.994392523364486,8660,greedy__1,9986
0,8,0.9050894293385989,8660,greedy__1,14965
0,8,0.9008329250367468,8660,greedy__1,3903
0,8,0.9534889735854366,8660,greedy__1,3899
0,8,0.9332678132678133,8660,greedy__1,3918
0,8,0.9584999999999999,8660,greedy__1,16
0,8,0.8187402939826068,8660,greedy__1,3904
0,8,0.977411753332286,8660,greedy__1,3510
0,8,0.9909033005211348,8660,greedy__1,32
0,8,0.9009259259259258,8660,greedy__1,9981
0,8,0.7,8660,greedy__1,125921
0,8,0.9721285714285715,8660,greedy__1,3573
0,8,0.9705111567509185,8660,greedy__1,34537
0,8,0.8815983175604627,8660,greedy__1,3954
0,8,0.7729999999999999,8660,greedy__1,22
0,8,0.9893137254901962,8660,greedy__1,3549
0,8,0.9374499332443259,8660,greedy__1,9983
0,8,0.9755,8660,greedy__1,20
0,8,0.851158873661177,8660,greedy__1,3896
0,8,0.9809608540925268,8660,greedy__1,28
0,8,0.8585233130217779,8660,greedy__1,7592
0,8,0.8099148936170213,8660,greedy__1,14966
0,8,0.984,8660,greedy__1,3543
0,8,0.613819265682157,8660,greedy__1,9970
0,8,0.7189291177970423,8660,greedy__1,146606
0,8,0.9674999999999999,8660,greedy__1,12
0,8,0.9060462919225319,8660,greedy__1,3902
0,8,0.9150998670919153,8660,greedy__1,219
0,8,0.8563191153238547,8660,greedy__1,3917
0,8,0.9713871635610767,8660,greedy__1,15
0,8,0.963095238095238,8660,greedy__1,9946
0,8,0.9506829804600956,8660,greedy__1,3891
0,8,0.7050000000000001,8660,greedy__1,18
0,8,1.0,8660,greedy__1,9968
0,8,0.849375,8660,greedy__8,9954
0,8,0.770727956254272,8660,greedy__8,37
0,8,0.8608695652173914,8660,greedy__8,125923
0,8,0.9074074074074072,8660,greedy__8,9980
0,8,0.608,8660,greedy__8,125920
0,8,0.650625,8660,greedy__8,9955
0,8,0.7481932773109243,8660,greedy__8,53
0,8,0.825925925925926,8660,greedy__8,14968
0,8,0.8261477987421383,8660,greedy__8,9956
0,8,0.9757023793520633,8660,greedy__8,21
0,8,0.8371915820029028,8660,greedy__8,3913
0,8,1.0,8660,greedy__8,24
0,8,0.8692003593890387,8660,greedy__8,9957
0,8,0.9878392217101893,8660,greedy__8,14967
0,8,0.9435338050314466,8660,greedy__8,9964
0,8,1.0,8660,greedy__8,9979
0,8,0.9070780399274048,8660,greedy__8,9950
0,8,0.9574059228520231,8660,greedy__8,43
0,8,0.9696000000000001,8660,greedy__8,6
0,8,0.9959306426332288,8660,greedy__8,3
