"","nrounds","booster","eta","subsample","max_depth","min_child_weight","colsample_bytree","colsample_bylevel","lambda","alpha","learner","num.trees","replace","sample.fraction","mtry","respect.unordered.factors","min.node.size","kernel","cost","gamma","degree"
"1",4648,"gbtree",0.00231377328523686,0.980387783655897,13,1.10627801348707,0.730969321681187,0.571916376473382,-11,-11,"xgboost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,4.57656626407052,0.003647371660918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3391,"gbtree",0.000996058377289125,0.222571448422968,13,1.46775911249984,0.953857673099265,0.599410354159772,-11,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4123,"gbtree",0.00541547867972061,0.950071429158561,13,1.55410817878903,0.788780602160841,0.822532895486802,-11,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",4391,"gbtree",0.0121508338848961,0.120031125843525,4,1.93301358369242,0.515259549953043,0.476962280692533,-11,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,1.4847653903295,0.0034856153652072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2483,"gbtree",0.0262427655054685,0.121564060682431,12,1.01770883520259,0.588539429241791,0.478893879335374,-11,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",321,"gbtree",0.00274508771362176,0.946826425427571,10,1.01624869341349,0.989735865732655,0.677049639401957,-11,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",3275,"gbtree",0.00245813827754937,0.997986883530393,1,17.5408640994508,0.436240554554388,0.373029496287927,-11,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",4900,"gbtree",0.0218095833410486,0.918122789543122,15,3.07167842710466,0.947204982629046,0.0864418565761298,-11,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",4086,"gbtree",0.00143839807249312,0.936252964916639,15,4.7807677186915,0.915464361663908,0.97904373286292,-11,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",4251,"gbtree",0.0176077768361213,0.985205502738245,15,2.24251695960919,0.994643025333062,0.756366238696501,-11,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",4290,"gbtree",0.00187596888413126,0.319308998715133,13,27.0594373884284,0.623258464969695,0.64149155234918,-11,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,"TRUE",0.685213772184216,0.297208812087774,"TRUE",0.880962203256786,NA,NA,NA,NA
"15",1339,"gbtree",0.0229650976422661,0.985162170184776,4,16.9836446810305,0.77553004771471,0.718735416885465,-11,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,"TRUE",0.781260925647803,0.50963156321086,"FALSE",0.900305724237114,NA,NA,NA,NA
"17",3424,"gbtree",0.00415364643324425,0.328721396951005,11,28.4429271347811,0.913773830980062,0.0698940206784755,-11,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,512,"FALSE",0.785580098978244,0.157334341900423,"FALSE",0.902932521887124,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,467,"FALSE",0.649321503285319,0.380488329567015,"FALSE",0.879772067535669,NA,NA,NA,NA
