@relation 'defaults'
@attribute 'cp' numeric
@attribute 'maxdepth' numeric
@attribute 'minbucket' numeric
@attribute 'minsplit' numeric
@data
0.000110565917566419,30,17,50
0.000301629304885864,22,2,7
0.000104433856904507,25,1,23
3.41152772307396e-05,30,20,15
4.28266357630491e-05,23,1,28
0.421882519032806,28,5,18
0.106432151282206,5,44,2
0.161911589326337,5,11,37
0.478947986848652,18,11,40
0.0417857458814979,15,45,22
3.10926698148251e-05,30,43,16
0.48031554883346,28,60,23
2.66195274889469e-06,30,7,3
0.597720254212618,27,19,33
0.416994325583801,17,3,40
3.80210112780333e-05,30,49,3
0.275924627203494,23,9,44
0.0281905017327517,19,9,51
1.11029949039221e-05,23,1,51
3.52896749973297e-05,29,2,6
0.494235985912383,16,37,56
0.151258175494149,10,5,17
0.688518315088004,25,25,13
0.298461477737874,17,45,57
0.955494361463934,28,8,25
0.993000137619674,19,42,58
0.352063180645928,28,32,7
8.70181247591972e-06,30,37,7
0.793276412179694,30,18,56
0.502923470223323,1,47,26
4.90364618599415e-06,30,56,22
0.544310151133686,24,17,11
