@relation 'defaults'
@attribute 'algorithm' {'SAMME','SAMME.R'}
@attribute 'strategy' {'mean','median','most_frequent'}
@attribute 'n_estimators' numeric
@attribute 'learning_rate' numeric
@attribute 'max_depth' numeric
@data
"SAMME","mean",494,0.907531444145294,7.08419797406532
"SAMME","most_frequent",426,0.048460857185898,3.68521240795963
"SAMME","median",494,0.0299290804951659,9.98751712078229
"SAMME.R","mean",161,0.0224888457103033,1.36561611434445
"SAMME","mean",470,0.961040014684385,2.94538327399641
"SAMME","median",472,0.900830796322878,9.79622525116429
"SAMME","median",427,1.24018357367641,4.89648791146465
"SAMME","most_frequent",490,0.931189585185464,2.95841248566285
"SAMME.R","mean",425,0.0293992878997308,1.01542675029486
"SAMME.R","median",54,0.0121634320840475,3.30619992734864
"SAMME","median",500,1.46857552841139,9.86498770257458
"SAMME","mean",484,1.8461835925253,2.92865556851029
"SAMME","mean",498,0.656071567004349,4.99843070073985
"SAMME","most_frequent",492,0.152942791997105,9.82727049407549
"SAMME","median",385,0.0136460264016106,1.11535681411624
"SAMME","mean",497,1.18553772904037,6.85306606371887
"SAMME.R","median",113,0.480626543803506,1.00787275074981
"SAMME","median",480,0.632051636870801,9.97824436379597
"SAMME","mean",143,0.0151579280245759,3.96511907386594
"SAMME.R","most_frequent",90,0.997469298858454,4.21543686510995
"SAMME","most_frequent",111,0.0160253053604471,3.99518669978715
"SAMME","mean",489,0.201360258135858,9.45202243514359
"SAMME.R","most_frequent",485,0.449711652320046,2.68820283305831
"SAMME","mean",493,1.0144842104615,4.22261674469337
"SAMME.R","median",496,0.113614300818831,4.99903828813694
"SAMME","mean",485,1.19366810614626,2.99459910835139
"SAMME","most_frequent",306,0.346019953787267,5.1573054487817
"SAMME","median",499,1.25151049573652,6.96380314370617
"SAMME","mean",320,0.925341159329981,4.16133069107309
"SAMME.R","mean",288,0.0154696412216126,1.01893683569506
"SAMME","most_frequent",344,0.442859174962416,9.87073646648787
"SAMME.R","mean",500,0.451967308372239,2.92825074354187
