,configuration_specification,evaluation,flow_id,strategy_name,task_id
0,8,0.8381250000000001,8662,greedy__1,9954
0,8,0.7759569377990432,8662,greedy__1,37
0,8,0.7256250000000001,8662,greedy__1,9955
0,8,0.8202941176470588,8662,greedy__1,53
0,8,0.8549253144654088,8662,greedy__1,9956
0,8,0.9745328673208764,8662,greedy__1,21
0,8,0.8295355587808417,8662,greedy__1,3913
0,8,1.0,8662,greedy__1,24
0,8,0.8710781671159029,8662,greedy__1,9957
0,8,0.9347327044025159,8662,greedy__1,9964
0,8,0.698820326678766,8662,greedy__1,9950
0,8,0.9387097991134585,8662,greedy__1,43
0,8,0.9366000000000001,8662,greedy__1,6
0,8,0.9912382445141066,8662,greedy__1,3
0,8,0.9342497868712704,8662,greedy__1,41
0,8,0.9167690732206861,8662,greedy__1,11
0,8,0.9833004385964914,8662,greedy__1,49
0,8,0.8335000000000001,8662,greedy__1,14
0,8,0.7799777503936468,8662,greedy__1,9952
0,8,0.9634370677731674,8662,greedy__1,3485
0,8,1.0,8662,greedy__1,3492
0,8,1.0,8662,greedy__1,9967
0,8,0.8953800000000001,8662,greedy__1,3946
0,8,0.9008478677286016,8662,greedy__1,9960
0,8,0.9636363636363635,8662,greedy__1,36
0,8,0.7154371584699455,8662,greedy__1,3493
0,8,0.741,8662,greedy__1,31
0,8,0.985,8662,greedy__1,3512
0,8,1.0,8662,greedy__1,3567
0,8,0.6520918178452426,8662,greedy__1,2079
0,8,0.975822596375956,8662,greedy__1,9914
0,8,0.9891558441558441,8662,greedy__1,3494
0,8,0.2296993670886076,8662,greedy__1,3560
0,8,0.9919414041386766,8662,greedy__1,3889
0,8,0.9194800000000001,8662,greedy__1,3948
0,8,0.8623999999999998,8662,greedy__1,58
0,8,0.514625850340136,8662,greedy__1,23
0,8,0.7350526777875329,8662,greedy__1,3561
0,8,0.9713647144681626,8662,greedy__1,3021
0,8,0.9680650735657155,8662,greedy__1,3481
0,8,0.844927536231884,8662,greedy__1,29
0,8,0.8939346811819595,8662,greedy__1,2074
0,8,0.9555555555555555,8662,greedy__1,3022
0,8,0.9260188087774294,8662,greedy__1,45
0,8,0.8969990200881922,8662,greedy__1,3903
0,8,0.854742992878041,8662,greedy__1,3899
0,8,0.9323751023751023,8662,greedy__1,3918
0,8,0.9585000000000001,8662,greedy__1,16
0,8,0.8118513848376816,8662,greedy__1,3904
0,8,0.9670716970187673,8662,greedy__1,3510
0,8,0.9919943750517,8662,greedy__1,32
0,8,0.9725142857142858,8662,greedy__1,3573
0,8,0.8578338590956888,8662,greedy__1,3954
0,8,0.8215,8662,greedy__1,22
0,8,0.9964425770308123,8662,greedy__1,3549
0,8,0.9745000000000001,8662,greedy__1,20
0,8,0.8426100810011901,8662,greedy__1,3896
0,8,0.9832740213523132,8662,greedy__1,28
0,8,0.8513983579746119,8662,greedy__1,7592
0,8,0.9880000000000001,8662,greedy__1,3543
0,8,0.9799999999999999,8662,greedy__1,12
0,8,0.9149504015115731,8662,greedy__1,3902
0,8,0.7820003338772636,8662,greedy__1,219
0,8,0.8549018280297901,8662,greedy__1,3917
0,8,0.9613664596273294,8662,greedy__1,15
0,8,0.9666666666666666,8662,greedy__1,9946
0,8,0.7508753810531226,8662,greedy__1,3891
0,8,0.7475,8662,greedy__1,18
0,8,1.0,8662,greedy__1,9968
0,8,0.8406250000000002,8662,greedy__8,9954
0,8,0.7733595352016406,8662,greedy__8,37
0,8,0.7249999999999999,8662,greedy__8,9955
0,8,0.8611753144654088,8662,greedy__8,9956
0,8,1.0,8662,greedy__8,21
0,8,0.8333817126269956,8662,greedy__8,3913
0,8,1.0,8662,greedy__8,24
0,8,0.8654357592093442,8662,greedy__8,9957
0,8,0.9610966981132074,8662,greedy__8,9964
0,8,0.7705384150030249,8662,greedy__8,9950
0,8,0.9387097991134585,8662,greedy__8,43
0,8,0.9715,8662,greedy__8,6
0,8,0.9912382445141066,8662,greedy__8,3
0,8,0.9269181585677749,8662,greedy__8,41
0,8,0.9983870967741936,8662,greedy__8,11
0,8,0.9916666666666668,8662,greedy__8,49
